Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
2/16/2024,10:21:19,ZPc010,0,0,AFC2FF041FF----------1FF------,,476.4037,476.7952,8.11E-02,8.11E-02,13565.87,13537.34,-2460.207,-2460.207,1219.46,99.922,2103,1694,4.77,5.03,19.11,3.42,14.3,0.4,4,83.93,,,,,,476.95,11073.1,0,0,0,0,0,0
2/16/2024,10:24:03,ZPc010,0,0,AFC2FF041FF----------1FF------,,474.8138,475.1073,0.118041,0.118041,13722.54,13690.61,-2410.331,-2410.331,1219.93,99.924,2125,1706,4.85,5.11,19.15,3.61,18.7,0.3,4,84.52,,,,,,475.17,13736,0,0,0,0,0,0
2/16/2024,10:39:51,MP_010,1,69.472,AFC2FF041FF----------1FF------,,472.2075,472.4275,0.118041,5.260477,14216.17,14201.32,-2410.331,-1863.408,1211.91,99.96,2217,1760,5.57,5.66,27.23,4.5,1,0.7,4,85.92,9.68E-02,-5.683583,-17.03794,-0.9433276,395.1176,477.62,14748.2,0,0,0,0,0,0
2/16/2024,10:58:24,MP_010,1,69.472,AFC2FF041FF----------1FF------,,472.8334,472.8331,0.118041,-3.739257,14680.43,14668,-2410.331,-1953.847,1224.82,100,2287,1813,4.95,4.98,18.63,3.74,51.7,0.3,4,87.27,8.17E-02,-6.494814,-12.58173,0.6417368,553.6992,468.95,15124.5,3.24,3,4.89,3.87,15,0
2/16/2024,11:08:09,MP_010,1,69.472,AFC2FF041FF----------1FF------,,474.1645,474.2342,0.118041,-6.897027,14975.44,14957.49,-2410.331,-1934.073,1224.92,100.011,2318,1835,4.97,4.98,18.74,3.79,98.9,0.5,4,87.4,8.53E-02,-6.809839,-12.52444,1.197035,622.1349,467.25,15433.8,6.48,6,9.78,7.74,30,0
2/16/2024,11:22:27,MP_010,1,69.472,AFC2FF041FF----------1FF------,,474.2323,474.2914,0.118041,-10.83243,15471.8,15455.26,-2410.331,-2122.533,1223.72,100.029,2352,1856,4.98,4.94,18.58,3.72,202.5,0.3,4,87.38,5.15E-02,-7.150094,-7.203434,1.905015,883.3974,463.33,15743.1,15.66,14.5,23.64,18.71,72.5,0
2/16/2024,11:35:34,MP_010,1,69.472,AFC2FF041FF----------1FF------,,475.5856,475.7539,0.118041,-14.74829,15848.03,15834.18,-2410.331,-2337.882,1222.78,100.049,2372,1867,4.98,4.93,18.8,3.63,400.9,0.3,4,87.07,1.30E-02,-7.324152,-1.769207,2.610658,2781.373,460.9,15906.6,31.86,29.5,48.09,38.06,147.5,0
2/16/2024,11:45:47,MP_010,1,69.472,AFC2FF041FF----------1FF------,,476.9588,476.8704,0.118041,-18.58745,16138.38,16128.87,-2410.331,-2614.707,1219.66,100.07,2384,1870,4.99,4.87,18.77,3.35,800.4,0.4,4,86.52,-3.65E-02,-7.380699,4.940068,3.300664,-584.941,458.09,15924.5,66.96,62,101.06,79.98,310,0
2/16/2024,11:54:45,MP_010,1,69.472,AFC2FF041FF----------1FF------,,476.4284,476.8463,0.118041,-20.88422,16367.2,16351.03,-2410.331,-2863.463,1217.07,100.07,2391,1873,5,4.88,19.08,3.06,1193.4,0.7,4,85.85,-8.07E-02,-7.347589,10.97856,3.716135,-69.89228,455.94,15897.9,106.92,99,161.37,127.71,495,0
2/16/2024,12:33:55,ZPc010,0,0,AFC2FF041FF----------1FF------,,478.4346,478.4543,-0.6887911,-0.6887911,19348.05,19343.33,1092.227,1092.227,1149.59,100.11,2418,1888,24.99,24.91,18.66,24.7,5.7,0.2,4,42.85,,,,,,477.69,22845.2,0,0,0,0,0,0
2/16/2024,13:01:39,MP_010,1,69.472,AFC2FF041FF----------1FF------,,478.4506,477.9459,-0.6887911,17.82688,19353.93,19375.77,1092.227,8574.797,1137.36,100.13,2429,1894,24.99,24.96,20.92,24.72,0,0.2,4,87.71,1.258818,4.837314,260.2307,-3.656143,514.4833,496.38,26858.3,0,0,0,0,0,0
2/16/2024,13:13:12,MP_010,1,69.472,AFC2FF041FF----------1FF------,,478.6596,478.6681,-0.6887911,4.444387,19074.09,19087.63,1092.227,9144.476,1136.33,100.151,2431,1894,24.98,24.95,18.83,24.71,55.1,0.2,4,88.21,1.353822,4.521714,299.4045,-1.494568,488.1393,483.78,27139.9,3.78,3.5,5.71,4.52,17.5,0
2/16/2024,13:54:45,MP_010,1,69.472,AFC2FF041FF----------1FF------,,478.8222,478.8378,-0.6887911,10.67542,18099.84,18119.57,1092.227,9960.266,1169.46,100.214,2439,1899,19.99,19.97,21.29,19.44,0,0.2,4,93.19,1.53421,-3.803479,-403.3701,-2.665069,482.7796,490.2,26987.6,0,0,0,0,0,0
2/16/2024,14:06:56,MP_010,1,69.472,AFC2FF041FF----------1FF------,,480.4446,480.4755,-0.6887911,-1.3749,18437.56,18442.34,1092.227,9700.505,1156.21,100.238,2440,1900,19.99,19.96,18.57,19.46,53.7,0.1,4,93.11,1.472492,-3.888701,-378.659,-0.592299,480.2619,479.79,27050.6,3.24,3,4.89,3.87,15,0
2/16/2024,14:19:42,MP_010,1,69.472,AFC2FF041FF----------1FF------,,480.6127,480.7135,-0.6887911,-6.376753,18288.29,18302.47,1092.227,9806.073,1156.66,100.253,2441,1900,19.99,19.95,18.55,19.45,102.6,0.1,4,92.9,1.491078,-3.871755,-385.1167,0.2388184,478.7977,474.95,27016.3,6.48,6,9.78,7.74,30,0
2/16/2024,14:34:32,MP_010,1,69.472,AFC2FF041FF----------1FF------,,481.3842,481.367,-0.6887911,-13.33048,18162.38,18183.94,1092.227,9921.865,1159.05,100.289,2439,1900,19.98,19.92,18.59,19.4,199.9,0.1,4,92.7,1.514009,-3.921665,-386.0629,1.39944,477.2786,468.73,27013.6,14.58,13.5,22.01,17.42,67.5,0
2/16/2024,14:42:26,MP_010,1,69.472,AFC2FF041FF----------1FF------,,481.5281,481.8488,-0.6887911,-19.67686,18044.38,18046.68,1092.227,10037.02,1157.76,100.297,2439,1900,19.99,19.92,18.57,19.29,401.7,0.2,4,92.83,1.532013,-3.900837,-392.7395,2.455218,475.5076,462.9,26991.5,29.7,27.5,44.83,35.48,137.5,0
2/16/2024,15:02:00,MP_010,1,69.472,AFC2FF041FF----------1FF------,,483.6815,483.584,-0.6887911,-27.31939,17705.46,17712.06,1092.227,10526.1,1155.09,100.336,2439,1900,19.99,19.89,18.82,19.04,798.3,0.2,4,92.9,1.612309,-4.112908,-392.012,3.691061,474.617,456.94,27145.9,61.56,57,92.91,73.53,285,0
2/16/2024,15:52:55,MP_010,1,69.472,AFC2FF041FF----------1FF------,,488.0707,487.5595,-0.6887911,-17.73993,16642.42,16660.05,1092.227,11670.65,1151.96,100.411,2440,1901,19.98,19.87,18.7,18.69,1204.6,0.5,4,91.94,1.803193,-4.25505,-423.7771,1.979101,480.8627,470.42,27238.5,98.28,91,148.33,117.39,455,0
